date,local,visitor,score,Bonilla,Botsvo,Cortes,Hincapie,Lugo,Rodas,Trujillo
06-14,AHL,MIA,0-0,,1-1,0-2,1-1,1-1,1-2,1-1
06-15,BAY,AKL,10-0,3-0,7-0,2-0,3-0,3-0,4-0,3-0
06-15,CHE,LAF,2-0,3-1,3-1,2-0,2-0,3-0,4-0,4-1
06-15,BOT,SEA,2-1,2-1,1-0,1-0,2-0,3-0,1-0,2-1
06-15,PSG,ATM,4-0,2-1,2-1,1-0,1-0,2-1,1-1,3-1
06-15,FLA,EST,2-0,3-1,2-0,1-0,3-1,2-1,2-0,2-0
06-15,PAL,POR,0-0,1-1,2-1,1-2,0-2,1-1,1-1,
06-16,BOC,BEN,2-2,2-2,1-0,1-2,1-1,1-2,1-2,1-2
06-17,ULS,SUN,0-1,0-0,0-1,1-1,0-1,2-2,1-1,2-0
06-17,FLU,BVB,0-0,2-5,0-1,1-2,1-2,1-2,1-2,1-2
06-17,MTY,INT,1-1,0-2,0-1,0-2,0-3,1-2,1-2,1-3
06-17,RIV,URD,3-1,3-0,2-0,2-0,1-0,2-0,3-0,2-1
06-18,RMA,HIL,1-1,3-0,2-0,3-0,3-0,3-1,3-1,3-0
06-18,AIN,JUV,0-5,0-2,0-2,0-2,0-2,1-2,0-2,1-2
06-18,MCI,WAC,2-0,6-1,4-0,5-0,4-0,4-0,3-0,4-0
06-18,PAC,SAL,1-2,0-2,1-1,0-1,1-2,1-1,1-1,0-1
06-19,POR,MIA,1-2,2-1,1-0,2-0,2-0,2-0,2-1,2-0
06-19,PSG,BOT,0-1,3-1,2-0,3-0,5-0,4-0,3-0,5-1
06-19,PAL,AHL,2-0,2-0,1-0,2-0,2-0,2-0,2-0,2-0
06-19,ATM,SEA,3-1,2-0,2-0,2-0,2-0,3-1,2-0,2-0
06-20,LAF,EST,0-1,2-1,1-0,1-1,1-0,1-0,2-1,1-0
06-20,FLA,CHE,3-1,2-3,1-1,1-2,1-1,1-1,2-2,1-2
06-20,AKL,BEN,0-6,0-4,0-6,0-4,0-3,0-4,0-5,0-5
06-20,BAY,BOC,2-1,4-1,2-1,3-0,3-1,3-1,3-0,3-1
06-21,BVB,SUN,4-3,2-0,2-0,3-0,2-0,2-0,2-0,2-0
06-21,FLU,ULS,4-2,3-1,2-0,2-0,2-0,2-0,2-0,3-0
06-21,URD,INT,1-2,0-1,0-2,0-3,0-1,0-2,0-3,0-2
06-21,RIV,MTY,0-0,2-1,2-1,1-1,1-1,2-1,1-1,1-1
06-22,MCI,AIN,6-0,4-0,4-0,3-0,3-0,4-0,4-0,4-0
06-22,WAC,JUV,1-4,0-3,0-2,0-2,0-2,1-3,0-2,0-3
06-22,RMA,PAC,3-1,2-1,2-1,2-0,3-0,3-0,3-1,3-1
06-22,HIL,SAL,0-0,1-2,1-1,1-1,1-1,2-1,1-2,1-1
06-23,ATM,BOT,1-0,,2-1,0-1,0-1,2-2,1-0,1-1
06-23,PSG,SEA,2-0,,4-1,3-0,3-0,4-0,3-0,4-1
06-23,POR,AHL,4-4,2-1,1-2,2-1,2-1,2-1,2-1,3-1
06-23,PAL,MIA,2-2,2-2,2-1,2-0,1-2,2-1,1-1,3-1
06-24,BAY,BEN,0-1,5-2,3-1,2-1,2-0,3-1,3-1,4-2
06-24,AKL,BOC,1-1,0-2,0-7,0-2,0-3,0-6,0-4,0-4
06-24,LAF,FLA,1-1,0-3,0-2,0-3,1-2,1-3,1-2,0-2
06-24,EST,CHE,0-3,1-3,1-2,0-3,1-3,1-2,0-3,1-2
06-25,RIV,INT,0-2,2-2,0-1,1-1,1-1,1-3,1-1,1-2
06-25,BVB,ULS,1-0,3-1,3-1,2-0,1-0,2-1,4-0,2-0
06-25,FLU,SUN,0-0,3-1,2-1,3-0,2-0,2-1,2-1,3-1
06-25,URD,MTY,0-4,2-1,1-2,0-1,0-1,0-2,1-2,1-1
06-26,MCI,JUV,5-2,2-1,1-0,2-1,2-1,3-1,2-1,1-0
06-26,WAC,AIN,1-2,1-1,3-2,1-1,1-1,2-1,2-1,2-1
06-26,HIL,PAC,2-0,2-2,2-1,1-0,1-1,2-0,2-0,2-0
06-26,RMA,SAL,3-0,3-2,3-1,2-0,2-1,3-0,3-1,3-1
06-28,PAL,BOT,0-0,1-3,0-1,1-0,2-2,2-2,1-1,2-1
06-28,BEN,CHE,1-1,2-2,1-2,0-1,1-2,2-2,1-2,1-2
06-29,PSG,MIA,4-0,3-1,3-1,2-1,2-1,3-1,3-1,4-1
06-29,FLA,BAY,2-4,2-3,1-0,0-1,1-2,1-1,1-2,1-2
06-30,INT,FLU,0-2,1-3,1-1,1-0,0-1,1-2,1-1,0-1
06-30,MCI,HIL,2-2,,2-0,3-0,5-0,3-0,3-0,3-1
07-01,RMA,JUV,1-0,2-2,2-1,2-1,3-1,3-1,2-1,3-1
07-01,BVB,MTY,2-1,2-1,1-0,1-0,1-0,1-1,1-1,2-0
